Freguesias,centroid_long,centroid_lat,id
Ajuda,-9.201058121999607,38.71050208535084,01
Alcântara,-9.18419062709285,38.71254331418561,02
Alvalade,-9.138913824520083,38.753596053723456,03
Areeiro,-9.13022146997074,38.74277205199746,04
Arroios,-9.137519100774556,38.72326725383665,05
Avenidas Novas,-9.153197385199736,38.73834537738607,06
Beato,-9.115417326460793,38.734757843802,07
Belém,-9.2143276833446,38.70757833498262,08
Benfica,-9.198346669958482,38.74038284428629,09
Campo de Ourique,-9.166960870061123,38.71619609736425,10
Campolide,-9.169221435047923,38.731957902956985,11
Carnide,-9.186911059031264,38.76831168317088,12
Estrela,-9.164733414958324,38.71199279444643,13
Lumiar,-9.166112375650671,38.77460051008017,14
Marvila,-9.122246369861427,38.74875829956301,15
Misericórdia,-9.14733760369188,38.712070165391395,16
Olivais,-9.126914667916116,38.775142197789606,17
Parque das Nações,-9.096540913398556,38.79035572768852,18
Penha de França,-9.1245300899981,38.7282422630385,19
Santa Clara,-9.15604960037262,38.787067714135475,20
Santa Maria Maior,-9.135172209625507,38.71425030601237,21
Santo António,-9.146637879246482,38.720387457350704,22
S. Dom. de Benfica,-9.176271949082748,38.74497644550765,23
São Vicente,-9.128774772137806,38.717464697110366,24
